epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.32411,1.18729,3.37385,1.78766,0.00456,1,0.12225,0.04814,0.07275,1.36962,3.43711,2.30642,0.0009,0.0009,0.0009
2,2.19607,1.07861,3.24837,1.60276,0.00434,1,0.15207,0.10487,0.09594,1.35198,3.37316,2.25326,0.0018373,0.0018373,0.0018373
3,2.95556,1.05953,3.32316,1.62823,0.0037,0.88889,0.37541,0.15358,0.21551,1.20964,3.40106,2.02251,0.0027086,0.0027086,0.0027086
4,3.67892,0.99409,3.21582,1.59089,0.0037,0.88889,0.36943,0.32094,0.23251,1.2218,3.4113,1.9746,0.0035139,0.0035139,0.0035139
5,4.42484,0.95299,3.21575,1.50992,0.00423,1,0.33194,0.23646,0.17314,1.22248,3.40332,1.93202,0.0042532,0.0042532,0.0042532
6,5.21154,0.95166,3.17123,1.49911,0.00425,1,0.41076,0.32384,0.26057,1.10483,3.33837,1.83911,0.0049265,0.0049265,0.0049265
7,5.9843,0.94784,3.13193,1.46526,0.00425,1,0.41076,0.32384,0.26057,1.10483,3.33837,1.83911,0.0055338,0.0055338,0.0055338
8,6.76261,0.88237,2.98594,1.41061,0.00424,1,0.46138,0.34344,0.3046,1.05879,3.21366,1.77431,0.0060751,0.0060751,0.0060751
9,7.53942,0.84784,2.82601,1.29003,1,0.1918,0.45376,0.33993,0.27361,0.97211,2.90797,1.74742,0.0065504,0.0065504,0.0065504
10,8.29885,0.82349,2.78656,1.34638,1,0.1918,0.45376,0.33993,0.27361,0.97211,2.90797,1.74742,0.0069597,0.0069597,0.0069597
11,9.08501,0.84719,2.69086,1.31747,1,0.2589,0.43378,0.29789,0.30029,1.06511,2.55511,1.76884,0.0067,0.0067,0.0067
12,9.87593,0.92668,2.71137,1.36564,0.98816,0.26667,0.44861,0.35247,0.30508,0.96592,2.56643,1.66725,0.00637,0.00637,0.00637
13,10.6476,0.86048,2.61756,1.40668,0.98816,0.26667,0.44861,0.35247,0.30508,0.96592,2.56643,1.66725,0.00604,0.00604,0.00604
14,11.4297,0.82513,2.66171,1.34208,0.94313,0.33333,0.5296,0.38146,0.3651,0.92189,2.60876,1.64378,0.00571,0.00571,0.00571
15,12.2404,0.84649,2.55935,1.35934,0.69187,0.42829,0.60255,0.40326,0.3859,1.15131,2.50371,1.88033,0.00538,0.00538,0.00538
16,13.0343,0.92502,2.48307,1.39068,0.69187,0.42829,0.60255,0.40326,0.3859,1.15131,2.50371,1.88033,0.00505,0.00505,0.00505
17,13.8322,0.95979,2.39799,1.35344,0.67798,0.44444,0.60127,0.44705,0.37771,1.13263,2.48672,1.84162,0.00472,0.00472,0.00472
18,14.5984,0.83452,2.38673,1.33655,0.67798,0.44444,0.60127,0.44705,0.37771,1.13263,2.48672,1.84162,0.00439,0.00439,0.00439
19,15.3834,0.87376,2.37775,1.32977,0.71912,0.4355,0.5709,0.43865,0.36765,1.10757,2.37654,1.71731,0.00406,0.00406,0.00406
20,16.1705,0.869,2.31607,1.32993,0.65741,0.44444,0.55458,0.45452,0.36571,1.13523,2.40169,1.66767,0.00373,0.00373,0.00373
21,17.085,0.77391,2.6764,1.24827,0.65741,0.44444,0.55458,0.45452,0.36571,1.13523,2.40169,1.66767,0.0034,0.0034,0.0034
22,17.9036,0.72666,2.72747,1.33334,0.65394,0.44444,0.53577,0.47031,0.36494,1.12525,2.33308,1.67783,0.00307,0.00307,0.00307
23,18.6903,0.72649,2.85093,1.27744,0.73038,0.4368,0.55867,0.4706,0.40171,1.11328,2.20386,1.67928,0.00274,0.00274,0.00274
24,19.4938,0.72946,2.68924,1.32812,0.73038,0.4368,0.55867,0.4706,0.40171,1.11328,2.20386,1.67928,0.00241,0.00241,0.00241
25,20.308,0.77304,2.51413,1.37133,0.77856,0.44233,0.56106,0.50348,0.39677,1.10589,2.17953,1.69603,0.00208,0.00208,0.00208
26,21.0767,0.7471,2.52473,1.32885,0.77856,0.44233,0.56106,0.50348,0.39677,1.10589,2.17953,1.69603,0.00175,0.00175,0.00175
27,21.8672,0.64751,2.41282,1.22201,0.79477,0.44444,0.57434,0.50324,0.39074,1.03813,2.22985,1.63522,0.00142,0.00142,0.00142
28,22.6522,0.68611,2.53632,1.33419,0.38577,0.60785,0.57462,0.43063,0.3826,1.07012,2.12557,1.66551,0.00109,0.00109,0.00109
29,23.427,0.65903,2.46876,1.28677,0.38577,0.60785,0.57462,0.43063,0.3826,1.07012,2.12557,1.66551,0.00076,0.00076,0.00076
30,24.2093,0.69611,2.51274,1.32177,0.78973,0.44444,0.57277,0.48244,0.37954,1.10163,2.09386,1.69115,0.00043,0.00043,0.00043
