epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.03943,1.21423,3.2809,1.80164,0.00431,1,0.06282,0.02521,0.02423,1.3641,3.43861,2.30909,0.0009,0.0009,0.0009
2,1.85863,1.10678,3.12173,1.62112,0.00436,1,0.11144,0.06775,0.06541,1.33554,3.36428,2.24657,0.0018373,0.0018373,0.0018373
3,2.59088,1.08854,3.15276,1.63522,0.00378,0.88889,0.2376,0.19069,0.13988,1.21927,3.39773,2.00506,0.0027086,0.0027086,0.0027086
4,3.31557,0.98679,3.00143,1.5475,0.00421,1,0.28588,0.22529,0.17297,1.19264,3.37503,1.91656,0.0035139,0.0035139,0.0035139
5,4.03678,0.99489,3.00655,1.51828,0.00437,1,0.3558,0.25385,0.21345,1.28736,3.31043,1.98644,0.0042532,0.0042532,0.0042532
6,4.75273,1.0768,2.98334,1.58232,0.00422,1,0.35793,0.3082,0.23771,1.25671,3.24806,1.9111,0.0049265,0.0049265,0.0049265
7,5.45582,1.01703,2.88662,1.50666,0.00422,1,0.35793,0.3082,0.23771,1.25671,3.24806,1.9111,0.0055338,0.0055338,0.0055338
8,6.17035,0.93069,2.71143,1.42958,1,0.14865,0.34836,0.32763,0.24236,1.18363,3.10336,1.91057,0.0060751,0.0060751,0.0060751
9,6.88466,0.9481,2.54812,1.31903,0.60459,0.2942,0.37359,0.35033,0.26805,1.31128,2.76151,2.08925,0.0065504,0.0065504,0.0065504
10,7.58849,1.03696,2.56008,1.46033,0.60459,0.2942,0.37359,0.35033,0.26805,1.31128,2.76151,2.08925,0.0069597,0.0069597,0.0069597
11,8.30074,0.98773,2.3646,1.3569,0.22289,0.44444,0.39476,0.28694,0.26153,1.25326,2.43068,1.81822,0.0067,0.0067,0.0067
12,9.02237,1.01334,2.36567,1.40279,0.30731,0.61111,0.41602,0.30388,0.29007,1.16905,2.69165,1.77858,0.00637,0.00637,0.00637
13,9.7349,0.98081,2.29701,1.41307,0.30731,0.61111,0.41602,0.30388,0.29007,1.16905,2.69165,1.77858,0.00604,0.00604,0.00604
14,10.4487,0.97156,2.26377,1.35905,0.46429,0.51238,0.4902,0.36498,0.32994,1.24179,2.51898,1.80757,0.00571,0.00571,0.00571
15,11.169,1.02148,2.18069,1.42673,0.53205,0.6996,0.55762,0.41033,0.36415,1.22122,2.34804,1.86076,0.00538,0.00538,0.00538
16,11.8753,1.06868,2.08365,1.45457,0.53205,0.6996,0.55762,0.41033,0.36415,1.22122,2.34804,1.86076,0.00505,0.00505,0.00505
17,12.5904,1.12841,2.04196,1.40274,0.38424,0.71111,0.58858,0.40976,0.34891,1.31001,2.56748,1.86434,0.00472,0.00472,0.00472
18,13.295,0.99139,1.93323,1.40617,0.38424,0.71111,0.58858,0.40976,0.34891,1.31001,2.56748,1.86434,0.00439,0.00439,0.00439
19,14.0092,0.98822,1.90684,1.34394,0.72865,0.61111,0.69321,0.51529,0.44568,1.21102,2.17343,1.70717,0.00406,0.00406,0.00406
20,14.7363,0.95608,1.95597,1.36174,0.54006,0.75361,0.6486,0.54199,0.43747,1.06313,1.9691,1.55122,0.00373,0.00373,0.00373
21,15.5598,0.75854,2.67489,1.22307,0.54006,0.75361,0.6486,0.54199,0.43747,1.06313,1.9691,1.55122,0.0034,0.0034,0.0034
22,16.3001,0.69063,2.53594,1.29486,0.53042,0.60058,0.65443,0.47304,0.4557,1.07533,2.21131,1.5817,0.00307,0.00307,0.00307
23,17.0184,0.75095,2.44522,1.26086,0.54887,0.7462,0.67535,0.49438,0.41297,1.27511,2.34661,1.79236,0.00274,0.00274,0.00274
24,17.7144,0.6728,2.39213,1.23856,0.54887,0.7462,0.67535,0.49438,0.41297,1.27511,2.34661,1.79236,0.00241,0.00241,0.00241
25,18.4166,0.71988,2.21347,1.2902,0.61947,0.75766,0.61097,0.39876,0.37749,1.25842,2.38242,1.72387,0.00208,0.00208,0.00208
26,19.1102,0.70033,2.29751,1.26102,0.61947,0.75766,0.61097,0.39876,0.37749,1.25842,2.38242,1.72387,0.00175,0.00175,0.00175
27,19.815,0.72564,2.17405,1.24886,0.62365,0.7705,0.61189,0.43116,0.40915,1.17269,2.30638,1.68774,0.00142,0.00142,0.00142
28,20.5302,0.63917,2.22474,1.26935,0.62326,0.75009,0.66779,0.49793,0.3954,1.20969,2.42586,1.76658,0.00109,0.00109,0.00109
29,21.2343,0.64821,2.21428,1.239,0.62326,0.75009,0.66779,0.49793,0.3954,1.20969,2.42586,1.76658,0.00076,0.00076,0.00076
30,21.9456,0.59525,2.19148,1.18461,0.61479,0.75578,0.66837,0.50151,0.41174,1.24825,2.30058,1.78074,0.00043,0.00043,0.00043
