epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.05045,1.20897,3.3003,1.77891,0.00357,0.88889,0.12645,0.11308,0.08088,1.36324,3.44279,2.30802,0.0009,0.0009,0.0009
2,1.89639,1.10665,3.12752,1.60818,0.0036,0.88889,0.24627,0.23432,0.16988,1.30705,3.42247,2.21588,0.0018373,0.0018373,0.0018373
3,2.6419,1.09506,3.11066,1.63709,0.00361,0.88889,0.35596,0.32661,0.23741,1.25073,3.44427,2.09054,0.0027086,0.0027086,0.0027086
4,3.36468,1.02028,2.95389,1.56129,0.0036,0.88889,0.55587,0.2953,0.24756,1.23798,3.41352,2.06127,0.0035139,0.0035139,0.0035139
5,4.09057,0.96823,2.98295,1.49992,0.00409,1,0.30812,0.27605,0.20269,1.33934,3.39984,2.0507,0.0042532,0.0042532,0.0042532
6,4.79345,1.10727,3.0242,1.60903,0.00365,0.83333,0.37178,0.28852,0.24248,1.20619,3.37939,1.92421,0.0049265,0.0049265,0.0049265
7,5.49754,1.12111,3.01182,1.55164,0.00365,0.83333,0.37178,0.28852,0.24248,1.20619,3.37939,1.92421,0.0055338,0.0055338,0.0055338
8,6.24585,1.04037,2.84535,1.50189,0.00363,0.88889,0.38589,0.37707,0.29551,1.14771,3.28473,1.91414,0.0060751,0.0060751,0.0060751
9,6.95846,0.95818,2.69252,1.32966,0.00408,1,0.38887,0.37644,0.28322,1.28931,3.09902,2.07414,0.0065504,0.0065504,0.0065504
10,7.65502,0.9624,2.5602,1.42398,0.00408,1,0.38887,0.37644,0.28322,1.28931,3.09902,2.07414,0.0069597,0.0069597,0.0069597
11,8.36071,0.96776,2.38966,1.33131,0.44655,0.4772,0.39219,0.22385,0.22968,1.30571,2.76939,2.29008,0.0067,0.0067,0.0067
12,9.06686,1.01519,2.30558,1.3788,0.35888,0.46294,0.3843,0.20193,0.20721,1.52958,2.63313,2.33855,0.00637,0.00637,0.00637
13,9.76349,1.06227,2.27667,1.46849,0.35888,0.46294,0.3843,0.20193,0.20721,1.52958,2.63313,2.33855,0.00604,0.00604,0.00604
14,10.4638,1.02681,2.0881,1.40404,0.43344,0.56087,0.41037,0.33048,0.28334,1.51637,2.44155,2.32564,0.00571,0.00571,0.00571
15,11.1665,1.03337,2.09743,1.43956,0.31753,0.75056,0.40928,0.29782,0.25918,1.42237,2.35358,2.10104,0.00538,0.00538,0.00538
16,11.862,1.15911,1.93458,1.49428,0.31753,0.75056,0.40928,0.29782,0.25918,1.42237,2.35358,2.10104,0.00505,0.00505,0.00505
17,12.564,1.15486,2.00898,1.43795,0.42408,0.88889,0.4807,0.29876,0.2724,1.52274,2.28549,2.14665,0.00472,0.00472,0.00472
18,13.2617,1.06741,1.77804,1.42738,0.42408,0.88889,0.4807,0.29876,0.2724,1.52274,2.28549,2.14665,0.00439,0.00439,0.00439
19,13.968,1.03798,1.7816,1.40069,0.39054,0.61111,0.47254,0.2769,0.26928,1.51325,2.32231,2.06504,0.00406,0.00406,0.00406
20,14.6779,0.99519,1.73601,1.38172,0.50274,0.77778,0.61332,0.45179,0.38356,1.36565,2.12726,1.82993,0.00373,0.00373,0.00373
21,15.4887,0.86224,2.3302,1.26407,0.50274,0.77778,0.61332,0.45179,0.38356,1.36565,2.12726,1.82993,0.0034,0.0034,0.0034
22,16.2206,0.71041,2.32109,1.28471,0.5589,0.77778,0.74635,0.29941,0.43361,1.47684,2.05195,1.99852,0.00307,0.00307,0.00307
23,16.935,0.7733,2.08691,1.28643,0.55936,0.77778,0.6371,0.35899,0.33145,1.54323,2.25384,2.08441,0.00274,0.00274,0.00274
24,17.6259,0.74969,2.15703,1.33006,0.55936,0.77778,0.6371,0.35899,0.33145,1.54323,2.25384,2.08441,0.00241,0.00241,0.00241
25,18.3268,0.76084,1.95496,1.33516,0.44808,0.75268,0.63496,0.31716,0.33077,1.4488,1.91538,2.07341,0.00208,0.00208,0.00208
26,19.0202,0.72846,2.06608,1.27649,0.44808,0.75268,0.63496,0.31716,0.33077,1.4488,1.91538,2.07341,0.00175,0.00175,0.00175
27,19.7264,0.67483,1.86961,1.20797,0.64516,0.77778,0.81997,0.40683,0.39906,1.48339,1.81739,2.09584,0.00142,0.00142,0.00142
28,20.4323,0.71339,1.97686,1.31344,0.61731,0.7655,0.74853,0.37566,0.38269,1.40698,1.90254,1.99447,0.00109,0.00109,0.00109
29,21.1277,0.69897,1.95646,1.29872,0.61731,0.7655,0.74853,0.37566,0.38269,1.40698,1.90254,1.99447,0.00076,0.00076,0.00076
30,21.8271,0.69493,1.95801,1.26017,0.61355,0.75606,0.69536,0.40928,0.37415,1.41199,1.89633,1.98261,0.00043,0.00043,0.00043
